OBJECTID,GSIIP_DISTRICT,PCPC_DISTRICT,PUBLIC_ACRES,PRIVATE_ACRES,COUNCIL_DISTRICTS,PUB_IMP_ACRES,PRIV_IMP_ACRES,TOTAL_IMP_ACRES,PERCENT_IMP,ACRES,GLOBALID,SHAPE_STAREA__,SHAPE_STLENGTH__
1,2,River Wards,863.28549246,1152.30276308,"1, 5, 6, 7",863.2761736,1152,2016,74.46389991,2707.35215639,0ad2a7f1-9ae2-4cbd-b43d-1a324792df3d,117931788.559882,97618.18127035
2,4,North Delaware,808.75020694,1058.68734741,"6, 7",808.74591359,1059,1867,65.69023962,2842.12694407,59b364fb-75a8-4138-a7ec-082050a0d3ad,123802555.075,87516.33279182
3,4,Lower Far Northeast,12.927894,26.38518894,6,12.92627076,26,39,56.68669672,68.79921085,6604100d-9798-479e-9d8e-3427bf75e03b,2996881.6253747,12278.02596289
4,2,Central,1323.61408725,1279.07407841,"1, 2, 5",1323.22414262,1279,2602,78.80274546,3301.91541526,0cea2a76-43c0-4621-80c9-5f9a8d741c43,143830859.389778,76765.41407259
5,1,University/Southwest,969.83714752,659.62152239,"2, 3",969.58066531,660,1629,69.34523857,2349.11586387,7f848f9f-395b-49f1-8571-7a604e1fd41c,102327077.414,79971.86256878
6,4,Upper Northwest,591.50891725,692.13534311,8,591.46473992,692,1284,52.67596316,2437.54441868,54545429-3eb2-4e38-a3d2-79a161723259,106179010.664361,57477.80822907
7,4,Upper North,1215.57945262,1326.1836868,"7, 8, 9",1215.55917344,1326,2542,61.87649225,4108.18375044,a44b6983-5cd9-4b40-a117-9c83acdccc16,178951768.53,92012.55303358
8,2,South,1362.75254765,1354.05656135,"1, 2",1362.75118295,1354,2717,76.51393953,3550.98694009,ef21b449-451e-414d-8568-4ce544c36020,154680372.599,67497.40776304
9,3,North,1460.19990003,1688.66247408,"4, 5, 7, 8",1460.02166548,1689,3149,69.74597263,4514.95603463,817e6f82-1905-44c0-916d-54ed15cb1a3f,196670698.313632,77531.23453558
10,2,Lower South,333.53535286,360.09616041,2,333.4970759,360,694,62.19938677,1115.76662742,daf8e4a9-48b3-45b3-b5ed-699cf43af3b2,48602599.6301479,76142.03587757
11,4,Lower Northeast,985.57168597,1236.81459766,"6, 7, 9",984.33876691,1237,2221,67.00955006,3314.45293703,a0ad0d84-54b8-49db-9b48-e5c489e76cb3,144376991.921685,71387.23338516
12,4,Central Northeast,208.83606725,293.9296118,"6, 9, 10",208.83606065,294,503,64.48319586,780.04818666,adac7f15-7da7-48e8-bad3-759fc7cb8275,33978762.9803118,37299.94923378
13,1,West,1001.30185684,1058.09268,"3, 4",1001.30049988,1058,2059,70.63013082,2915.18644535,f6cccbce-c82a-471c-96fb-0cfa358a9d87,126985013.482151,67856.44171712
14,1,Lower Southwest,393.66596862,423.86714416,"2, 3",393.665759,424,818,63.61161732,1285.92863134,5fb6a534-5f1f-4d2a-8f6b-77bacc756164,56014826.822094,53018.32495849
15,1,West Park,486.06265698,547.70895993,"3, 4",486.00160594,548,1034,51.41361724,2011.14034675,cfc1a97b-936e-43ad-b41a-b3e38366a298,87604923.8338304,119585.68836527
16,3,Lower North,1301.70185519,872.13125665,"5, 7 ",1301.57527013,872,2174,68.01558653,3196.32618191,a71a0523-bbd5-4238-b2f7-389dfca3645e,139231411.913599,53273.0281261
